TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;8,90;;-6,39;0,92;0,40;30,37;5,47;-13,69;15,99;24,60;8,61;0,49;0,87;-7,25;-0,49;0,77;-14,37;-6,25;2,95;0,44;0,55;0,46;1,84;;164.037,19;9,70;-1,39;0,17;1.052.806.062,40
ABCB4;19,31;8,52;6,48;0,74;0,07;17,76;12,53;10,94;5,66;5,66;;;0,71;1,45;-0,07;2,58;11,43;1,05;;0,09;0,91;0,10;20,08;11,85;15.786.922,33;26,07;2,98;-0,53;4.724.323.908,67
ABEV3;11,74;5,69;13,27;1,89;1,26;50,98;23,92;16,92;9,39;8,50;-0,89;-0,18;2,24;26,43;-1,77;1,20;14,21;9,47;16,38;0,67;0,33;0,56;9,68;4,87;431.476.156,48;6,23;0,88;-1,76;184.994.897.124,64
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;5,71;;-2,02;0,34;0,10;10,95;3,55;-10,06;5,73;14,98;9,24;0,55;0,20;0,87;-0,27;1,22;-16,91;-4,90;1,18;0,29;0,71;0,49;34,34;;7.394.958,48;16,70;-2,83;-0,02;354.706.319,16
AESB3;8,12;0,92;-16,72;1,17;0,23;27,76;21,64;-7,77;6,00;18,58;12,58;2,46;1,30;-6,33;-0,29;0,84;-7,01;-1,40;4,33;0,20;0,75;0,18;;;7.819.710,86;6,93;-0,49;0,06;4.904.883.417,84
AFLT3;7,15;9,36;19,96;1,82;1,44;58,08;53,92;41,22;15,26;14,55;-0,72;-0,09;8,23;15,79;-1,90;1,59;9,13;7,19;8,69;0,79;0,21;0,17;14,85;-0,02;2.927,90;3,92;0,36;-1,10;451.055.605,00
AGRO3;22,12;7,03;7,72;1,04;0,63;34,91;24,45;23,93;7,55;10,38;2,83;0,39;1,85;3,97;-0,91;2,09;13,50;8,16;8,56;0,60;0,40;0,34;13,78;10,70;4.493.205,33;21,23;2,87;0,52;2.271.357.781,28
AGXY3;0,45;;-0,22;0,16;0,02;9,19;-0,76;-6,90;-2,03;-20,57;-18,54;1,49;0,02;-0,26;-0,05;0,91;-72,76;-7,88;-11,71;0,11;0,89;1,14;;;904.877,62;2,77;-2,02;0,00;114.544.609,20
AHEB3;38,25;;2,28;2,04;0,63;28,07;22,41;20,02;2,04;1,62;-0,43;-0,43;0,46;1,61;-1,59;2,89;89,31;27,74;92,71;0,31;0,69;1,39;50,82;;1.811,90;18,75;16,75;0,05;327.722.060,25
AHEB5;45,00;;2,69;2,40;0,75;28,07;22,41;20,02;2,40;1,62;-0,43;-0,43;0,54;1,90;-1,87;2,89;89,31;27,74;92,71;0,31;0,69;1,39;50,82;;3.857,14;18,75;16,75;0,06;327.722.060,25
AHEB6;35,50;;2,12;1,89;0,59;28,07;22,41;20,02;1,89;1,62;-0,43;-0,43;0,42;1,50;-1,47;2,89;89,31;27,74;92,71;0,31;0,69;1,39;50,82;;0,00;18,75;16,75;0,05;327.722.060,25
ALLD3;6,85;34,52;4,14;0,42;0,19;11,78;3,98;2,80;2,91;3,98;1,07;0,15;0,12;0,67;-0,54;1,76;10,19;4,54;9,85;0,45;0,55;1,62;16,54;20,06;770.587,95;16,23;1,65;0,04;644.303.958,20
ALOS3;18,11;7,81;12,85;0,71;0,33;72,96;43,47;28,02;8,28;3,37;-4,92;-0,42;3,60;2,63;-0,43;2,23;5,49;2,58;7,37;0,47;0,50;0,09;48,62;32,24;71.255.360,62;25,68;1,41;-0,17;9.832.587.421,99
ALPA3;5,96;;-2,71;1,03;0,62;44,20;-38,16;-37,55;-2,67;-2,75;0,03;-0,01;1,02;1,83;-1,30;2,78;-37,92;-22,66;-29,69;0,60;0,40;0,60;-0,89;;23.320,90;5,79;-2,20;-0,01;4.232.520.063,63
ALPA4;6,43;;-2,93;1,11;0,66;44,20;-38,16;-37,55;-2,88;-2,75;0,03;-0,01;1,10;1,97;-1,40;2,78;-37,92;-22,66;-29,69;0,60;0,40;0,60;-0,89;;15.150.807,95;5,79;-2,20;-0,01;4.232.520.063,63
ALPK3;2,27;;-23,01;1,38;0,19;32,19;13,57;-1,41;2,39;8,43;6,04;3,49;0,32;-2,37;-0,23;0,71;-6,00;-0,81;10,67;0,14;0,86;0,58;6,73;;336.515,43;1,64;-0,10;0,29;492.644.536,75
ALUP11;26,42;5,34;8,40;1,03;0,28;74,61;72,56;26,53;3,07;6,30;3,23;1,09;2,23;2,87;-0,35;1,89;12,29;3,32;10,62;0,27;0,61;0,13;11,95;20,85;25.413.153,67;25,60;3,15;0,25;8.373.790.219,81
ALUP3;9,00;5,22;8,58;1,05;0,29;74,61;72,56;26,53;3,14;6,30;3,23;1,09;2,28;2,94;-0,36;1,89;12,29;3,32;10,62;0,27;0,61;0,13;11,95;20,85;60.921,38;8,53;1,05;0,25;8.373.790.219,81
ALUP4;8,90;5,28;8,49;1,04;0,28;74,61;72,56;26,53;3,10;6,30;3,23;1,09;2,25;2,90;-0,36;1,89;12,29;3,32;10,62;0,27;0,61;0,13;11,95;20,85;113.006,33;8,53;1,05;0,25;8.373.790.219,81
AMAR3;0,98;;-1,16;1,81;0,25;63,30;-13,66;-37,76;-3,21;-7,30;-4,10;2,31;0,44;-1,49;-0,35;0,63;-155,67;-21,57;-20,86;0,14;0,86;0,57;-9,85;;183.466,24;0,54;-0,84;0,04;503.186.922,14
AMBP3;130,00;;-76,32;12,30;1,53;21,49;19,61;-4,63;18,00;22,05;4,04;2,76;3,53;5,56;-2,61;3,01;-16,11;-2,01;9,27;0,12;0,80;0,43;66,18;;24.857.596,76;10,57;-1,70;-0,61;21.715.442.970,00
AMER3;6,71;;0,12;0,24;0,07;33,32;-4,37;77,71;-2,09;-3,08;-0,99;0,11;0,09;0,44;-0,12;1,70;199,74;61,70;-9,57;0,31;0,69;0,79;18,16;;13.818.981,67;28,55;57,03;0,00;1.343.630.583,68
AMOB3;0,34;;;;;;;;;;;;;;;;;;;;;;;;20.513.645,00;;;;0,00
ANIM3;1,58;29,83;-12,49;0,28;0,06;48,13;18,87;-1,34;0,89;6,36;5,47;1,73;0,17;0,62;-0,08;1,76;-2,24;-0,51;8,59;0,23;0,72;0,38;27,79;;18.573.300,33;5,64;-0,13;0,28;638.112.711,90
APER3;46,75;;-32,82;2,02;1,01;100,00;6,60;-8,16;40,57;43,31;2,74;0,14;2,68;115,28;-1,38;1,03;-6,15;-3,09;2,91;0,50;0,50;0,38;29,52;;19.491,81;23,16;-1,42;0,16;953.269.946,75
APTI3;197,64;22,22;0,07;0,01;0,01;99,66;155,93;137,87;0,06;0,55;-0,08;-0,02;0,10;0,02;-0,01;10,73;19,70;10,49;16,40;0,53;0,47;0,08;1,52;;;14.199,03;2.797,53;0,00;37.417.457,40
APTI4;2.930,92;1,65;1,05;0,21;0,11;99,66;155,93;137,87;0,93;0,55;-0,08;-0,02;1,44;0,28;-0,19;10,73;19,70;10,49;16,40;0,53;0,47;0,08;1,52;;0,00;14.199,03;2.797,53;0,00;37.417.457,40
ARML3;5,03;6,32;8,45;1,35;0,34;42,52;32,38;12,19;3,18;6,41;3,23;1,37;1,03;2,26;-0,53;1,76;15,98;4,04;11,79;0,25;0,75;0,33;;;4.758.388,95;3,72;0,60;0,38;1.742.865.307,91
ASAI3;5,62;;11,95;1,52;0,17;16,48;5,12;0,88;2,06;5,47;3,41;2,52;0,11;-3,10;-0,27;0,86;12,73;1,45;16,71;0,11;0,89;1,64;;;117.306.486,29;3,69;0,47;-0,53;7.599.451.936,14
ATMP3;1,18;;0,13;0,09;0,02;17,92;-33,72;65,56;-0,26;-1,74;-1,48;0,48;0,09;-0,52;-0,03;0,85;63,65;18,20;-19,72;0,29;0,71;0,28;-25,72;;11.626,57;13,81;8,79;0,00;31.518.220,08
ATOM3;4,30;;5,32;2,59;1,98;93,46;3,10;62,27;107,07;99,39;-7,68;-0,19;3,32;6,50;-3,09;6,84;48,68;37,26;-44,50;0,77;0,23;0,60;31,18;22,10;1.220.362,67;1,66;0,81;0,00;102.361.061,40
AURA33;25,28;4,28;-19,94;4,37;1,06;38,70;30,45;-9,71;6,36;7,27;0,91;0,63;1,94;26,92;-1,63;1,13;-21,94;-5,29;21,37;0,24;0,76;0,55;29,52;;4.678.393,48;5,78;-1,27;0,10;5.490.704.136,00
AURE3;8,77;4,56;12,74;0,73;0,29;19,16;23,40;10,96;5,97;7,97;2,00;0,25;1,40;1,98;-0,42;1,93;5,74;2,30;5,47;0,40;0,60;0,21;;;41.995.123,10;11,98;0,69;-0,20;9.211.814.831,98
AVLL3;2,73;;-3,11;-7,53;0,39;38,44;10,62;-27,90;8,16;13,44;5,27;;0,87;-3,77;-0,62;0,78;-242,53;-12,56;2,44;-0,05;1,04;0,45;55,58;;5.776,76;-0,36;-0,88;0,05;533.251.066,53
AZEV3;0,94;;-1,20;0,65;0,24;6,77;-107,84;-81,56;-0,91;-1,28;-0,37;0,26;0,98;-1,16;-0,30;0,51;-54,09;-19,90;-85,49;0,37;0,63;0,24;54,36;;658.999,95;1,45;-0,78;0,00;185.730.342,74
AZEV4;0,94;;-1,20;0,65;0,24;6,77;-107,84;-81,56;-0,91;-1,28;-0,37;0,26;0,98;-1,16;-0,30;0,51;-54,09;-19,90;-85,49;0,37;0,63;0,24;54,36;;3.845.105,90;1,45;-0,78;0,00;185.730.342,74
